timestep,hotspot_fraction,pattern_persistence,structural_complexity,flow_coherence,pattern_quality
0,0.025724999606609344,1.0,0.0068796901032328606,0.9676850575430372,0.5026304494112368
50,0.3974999785423279,0.3782096533445205,0.03110494278371334,0.98370078125,0.43567403437279717
100,0.5698750019073486,0.4050526795757027,0.02466852217912674,0.987680859375,0.49494818075574076
150,0.8197999596595764,0.4031940287371553,0.0272148959338665,0.98892890625,0.5701269569557927
200,1.0,0.40477788713979873,0.013951661996543407,0.9919541015625,0.6226145188537483
250,1.0,0.40579284740880367,0.0064591309055686,0.99483955078125,0.6219975905600048
300,1.0,0.3572810341121671,0.0034610729198902845,0.995496484375,0.6069758216926282
350,1.0,0.18367207071641084,0.0018570919055491686,0.997901953125,0.555053430221033
400,1.0,-0.05776752952040398,0.0010856216540560126,0.9989158203125,0.48267002953719
450,1.0,-0.2134156588308552,0.0010015938896685839,0.9992927734375,0.4360341758161772
500,1.0,-0.2920597298761619,0.0010857869638130069,0.9995046875,0.41250017592991406
