timestep,hotspot_fraction,pattern_persistence,structural_complexity,flow_coherence,pattern_quality
0,0.025724999606609344,1.0,0.0068796901032328606,0.9676850575430372,0.5026304494112368
50,0.39557498693466187,0.37701907034413673,0.0310635007917881,0.9837001953125,0.4347309564044972
100,0.5686999559402466,0.4047886320284652,0.02493513748049736,0.9876716796875,0.49456793982421304
150,0.8159250020980835,0.4029848672890326,0.027664806693792343,0.9889076171875,0.5689874455923933
200,1.0,0.4043466719745529,0.014943709596991539,0.99185595703125,0.6226639349180142
250,1.0,0.3958342144799591,0.008858045563101768,0.9948349609375,0.6194888656441081
300,1.0,0.22813003050389558,0.008535715751349926,0.995435546875,0.5692332616764386
350,1.0,0.03227803318636482,0.011859668418765068,0.997560546875,0.5115674530146624
400,0.8817749619483948,-0.0053838921641254185,0.019580528140068054,0.997816015625,0.46639662968829443
450,0.22724999487400055,-0.007646660530246261,0.031195053830742836,0.9959490234375,0.2713098157567749
500,0.06780000030994415,-0.0060884228761043865,0.04234490916132927,0.99243955078125,0.22547036521866778
