timestep,hotspot_fraction,pattern_persistence,structural_complexity,flow_coherence,pattern_quality
0,0.025724999606609344,1.0,0.0068796901032328606,0.9676850575430372,0.5026304494112368
50,0.29257500171661377,0.3513827405087026,0.029824936762452126,0.9759734375,0.3943469975200854
100,0.5381749868392944,0.392613869785185,0.024297146126627922,0.98515751953125,0.48112759011891937
150,0.7023749947547913,0.398033231933014,0.028698604553937912,0.9869814453125,0.5332584779796292
200,1.0,0.39517395191184634,0.017931802198290825,0.98771953125,0.6196824522632121
250,1.0,0.3989646155289359,0.010738566517829895,0.99081005859375,0.6199991096809968
300,1.0,0.3518372727311031,0.009342705830931664,0.99431884765625,0.6062834925167673
350,1.0,0.16484974527812257,0.011095617897808552,0.99486298828125,0.5506466448192485
400,0.9784500002861023,0.038646050633166555,0.01618996262550354,0.994730078125,0.5073128234258814
450,0.3006249964237213,0.005372667864413895,0.024860499426722527,0.99281533203125,0.29533446557803505
500,0.06484999507665634,-0.0019795480493842088,0.03477153927087784,0.9912904296875,0.22407352789985724
