timestep,hotspot_fraction,pattern_persistence,structural_complexity,flow_coherence,pattern_quality
0,0.025724999606609344,1.0,0.0068796901032328606,0.9676850575430372,0.5026304494112368
50,0.3979249894618988,0.3785447592174143,0.03113039769232273,0.98370732421875,0.43590846898600843
100,0.569974958896637,0.4051323848964062,0.024635352194309235,0.987684375,0.4949961485767748
150,0.8196749687194824,0.4032455838707183,0.027165984734892845,0.988934375,0.5700962377240388
200,1.0,0.4048030528124081,0.013949376530945301,0.9919373046875,0.6226182520874115
250,1.0,0.4059421815147514,0.006472812499850988,0.9948390625,0.6220450294543955
300,1.0,0.3582074329093901,0.003462544409558177,0.9954984375,0.6072544262547286
350,1.0,0.18618589060817645,0.0018547720974311233,0.9979064453125,0.5558080106644392
400,1.0,-0.05596987354019537,0.0010800014715641737,0.998917578125,0.48320855385725425
450,1.0,-0.21311664796038368,0.0009931703098118305,0.9992939453125,0.4361224287363472
500,1.0,-0.2919398543190184,0.001075041713193059,0.99950556640625,0.4125341653281831
