timestep,hotspot_fraction,pattern_persistence,structural_complexity,flow_coherence,pattern_quality
0,0.025724999606609344,1.0,0.0068796901032328606,0.9676850575430372,0.5026304494112368
50,0.16155000030994415,0.2874687349625783,0.02657400630414486,0.964315234375,0.3328834687175857
100,0.32032498717308044,0.3394483459599161,0.025205140933394432,0.97685439453125,0.39834390703282785
150,0.5605250000953674,0.3701819181942882,0.027449946850538254,0.9790513671875,0.4805123382945043
200,0.7244499921798706,0.36443684129596754,0.027809470891952515,0.9817462890625,0.5285772020336419
250,1.0,0.3574236899405994,0.016045033931732178,0.98424228515625,0.6072845707997763
300,1.0,0.35592447395439497,0.011346643790602684,0.98598466796875,0.6062436045381889
350,1.0,0.350530170371426,0.010674143210053444,0.9875185546875,0.6047975906909385
400,1.0,0.3089826530266414,0.01150560099631548,0.992091796875,0.5934142754822556
450,0.943399965763092,0.19196886049220607,0.01406167447566986,0.993577734375,0.5421385296467235
500,0.27137500047683716,0.09085243124387217,0.018565533682703972,0.993803125,0.3111419612527536
